Time [s],Packet ID,MOSI,MISO
4.611,13994,0xA,0x0
4.6110205,13995,0x0,0x0
4.61103525,13995,0xF,0x0
4.611052,13995,0x3,0x0
4.6110665,13995,0x8,0x0
4.611086,13996,0xD,0x0
4.612069,13997,0xD,0x0
4.6130525,13998,0xA,0x0
4.6130735,13999,0x0,0x0
4.61308825,13999,0xF,0x0
4.61310475,13999,0x8,0x0
4.61311975,13999,0x8,0x0
4.61313925,14000,0xD,0x0
4.6141225,14001,0xD,0x0
4.615128,14002,0xA,0x0
4.61514825,14003,0x0,0x0
4.61516325,14003,0xF,0x0
4.61518,14003,0x3,0x0
4.6151945,14003,0x8,0x0
4.615214,14004,0xD,0x0
4.616197,14005,0xD,0x0
4.6171805,14006,0xA,0x0
4.6172015,14007,0x0,0x0
4.61721625,14007,0xF,0x0
4.617233,14007,0x8,0x0
4.61724775,14007,0x8,0x0
4.61726725,14008,0xD,0x0
4.61825075,14009,0xD,0x0
4.61925625,14010,0xA,0x0
4.61927675,14011,0x0,0x0
4.6192915,14011,0xF,0x0
4.6193085,14011,0x3,0x0
4.61932275,14011,0x8,0x0
4.61934225,14012,0xD,0x0
4.62032475,14013,0xD,0x0
4.62130825,14014,0xA,0x0
4.621329,14015,0x0,0x0
4.62134375,14015,0xF,0x0
4.6213605,14015,0x8,0x0
4.62137525,14015,0x8,0x0
4.621395,14016,0xD,0x0
4.6223775,14017,0xD,0x0
4.6233735,14018,0xA,0x0
4.623392,14019,0xE,0x0
4.62341025,14020,0x0,0x0
4.6234255,14020,0x5,0x0
4.62344225,14020,0xA,0x0
4.623457,14020,0x5,0x0
4.62347425,14020,0xF,0x0
4.6234885,14020,0x6,0x0
4.62350575,14020,0x0,0x0
4.623521,14020,0x0,0x0
4.62354425,14020,0x7,0x0
4.6235585,14020,0xD,0x0
4.62357925,14020,0x7,0x0
4.62359325,14020,0x9,0x0
4.6236145,14020,0x0,0x0
4.6236295,14020,0x0,0x0
4.623651,14020,0xF,0x0
4.62366525,14020,0x0,0x0
4.623683,14020,0x5,0x0
4.6236975,14020,0x5,0x0
4.623728,14021,0xA,0x0
4.62374825,14022,0x0,0x0
4.62376325,14022,0xF,0x0
4.62378,14022,0x3,0x0
4.62379425,14022,0x8,0x0
4.623814,14023,0xD,0x0
4.62479725,14024,0xD,0x0
4.62578075,14025,0xA,0x0
